date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-04,8.358171747132381,6.585882625425174,10.249713791646453,41491392968
2025-03-05,8.3718967483678,6.614637515366033,10.323464425904767,41491392968
2025-03-06,8.385621749603217,6.624409734114927,10.252208777583153,41491392968
2025-03-07,8.399346750838635,6.477274226854717,10.16694961939478,41491392968
2025-03-08,8.413071752074053,6.580714125163928,10.309193595799812,41491392968
2025-03-09,8.426796753309475,6.441307652140373,10.284217294021849,41491392968
2025-03-10,8.440521754544893,6.4899764143593375,10.33371868384786,41491392968
2025-03-11,8.45424675578031,6.422561991924247,10.28117137117555,41491392968
2025-03-12,8.467971757015729,6.599974430206003,10.18136826772675,41491392968
2025-03-13,8.481696758251147,6.694996137384588,10.334965250476955,41491392968
2025-03-14,8.495421759486565,6.574696141935316,10.169994087715821,41491392968
2025-03-15,8.509146760721986,6.728890334725732,10.320759716273766,41491392968
2025-03-16,8.522871761957404,6.71685197662528,10.418819665064374,41491392968
2025-03-17,8.536596763192822,6.835160913809249,10.293583766900062,41491392968
2025-03-18,8.55032176442824,6.771813221812109,10.399729077354602,41491392968
2025-03-19,8.564046765663658,6.65613086130485,10.481918531693864,41491392968
2025-03-20,8.577771766899076,6.6446757938976715,10.316803355361868,41491392968
2025-03-21,8.591496768134498,6.773022549560656,10.355773215861149,41491392968
2025-03-22,8.605221769369916,6.776696115102109,10.5112873361451,41491392968
2025-03-23,8.618946770605334,6.699992677658859,10.58632906270614,41491392968
2025-03-24,8.632671771840752,6.893668758225589,10.52161984540158,41491392968
2025-03-25,8.646396773076173,6.828741874558972,10.526900578713711,41491392968
2025-03-26,8.660121774311591,6.851064370711636,10.301391553380473,41491392968
2025-03-27,8.673846775547009,6.779094645851233,10.54298139719657,41491392968
2025-03-28,8.687571776782427,6.801885437491359,10.552451718138723,41491392968
2025-03-29,8.701296778017845,6.849752351570571,10.499989429654892,41491392968
2025-03-30,8.715021779253265,6.893285986598278,10.515185499394368,41491392968
2025-03-31,8.728746780488683,6.906064545426414,10.62767595879147,41491392968
2025-03-04,37.338737913417454,34.65520182389864,40.03181541010368,41491393273
2025-03-05,37.50393532418181,34.624226177158164,40.44496910375588,41491393273
2025-03-06,37.66913273494616,34.99250095453703,40.52831490929812,41491393273
2025-03-07,37.834330145710524,35.04990518965988,40.64891364481625,41491393273
2025-03-08,37.999527556474874,35.19807726540643,40.954067956898356,41491393273
2025-03-09,38.16472496723922,35.36179570220627,40.87182116928908,41491393273
2025-03-10,38.32992237800358,35.5527306879306,41.04592268106755,41491393273
2025-03-11,38.495119788767944,35.57706964334919,41.22041617724589,41491393273
2025-03-12,38.66031719953229,35.97240447294278,41.37757206634728,41491393273
2025-03-13,38.82551461029665,36.23096340215033,41.6930238503996,41491393273
2025-03-14,38.990712021061,36.06546527700571,41.769707694871954,41491393273
2025-03-15,39.15590943182536,36.41983355155769,42.140778479944224,41491393273
2025-03-16,39.3211068425897,36.52469649860061,42.066492145988946,41491393273
2025-03-17,39.48630425335407,36.82154255572885,42.3193159095214,41491393273
2025-03-18,39.65150166411843,36.88244036482247,42.402315273811794,41491393273
2025-03-19,39.81669907488277,37.12839858627372,42.54912030125309,41491393273
2025-03-20,39.98189648564714,37.12017923518679,42.48896876892128,41491393273
2025-03-21,40.147093896411484,37.29270671236052,43.02820360354584,41491393273
2025-03-22,40.31229130717584,37.52123878052474,42.97479680360954,41491393273
2025-03-23,40.4774887179402,37.51786034742074,43.087389795419945,41491393273
